Test Details
Pipette,p300_single_gen3,model
Pressure Sensor,sensor_revA2,model
Reservoir,usascientific_12_reservoir_22ml,Labware
Z Distance,20,mm
Plunger Distance,20,mm
speed,1,mm/s
Tiprack,Opentrons 96 Tip Rack 300 µL on 4,Labware
C_threshold,1.4,
11-11-21_22:09_PM
""
Time,Capacitance Offset,Capacitance,Z_height(mm),Plunger_dist(mm),Dial Indicator(mm),Trial,Phase,Error
0.16888800298329443,,2.291,162.178,19.5,-0.001,0,trial 1,
0.1732143499830272,,2.291,162.178,19.5,-0.001,0,trial 1,
0.1774811669893097,,2.291,162.178,19.5,-0.001,0,trial 1,
0.18195745997945778,,2.291,162.178,19.5,-0.001,0,trial 1,
0.18582698999671265,,2.291,162.178,19.5,-0.001,0,trial 1,
0.18979542597662657,,2.291,162.178,19.5,-0.001,0,trial 1,
0.19370948697905988,,2.291,162.178,19.5,-0.001,0,trial 1,
0.19755547598470002,,2.291,162.178,19.5,-0.001,0,trial 1,
0.20141109998803586,,2.291,162.178,19.5,-0.001,0,trial 1,
0.20509365398902446,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2086488659842871,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2122629829973448,,2.291,162.178,19.5,-0.001,0,trial 1,
0.21686583699192852,,2.291,162.178,19.5,-0.001,0,trial 1,
0.22006094898097217,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2244014109892305,,2.291,162.178,19.5,-0.001,0,trial 1,
0.22893572397879325,,2.291,162.178,19.5,-0.001,0,trial 1,
0.23226713598705828,,2.291,162.178,19.5,-0.001,0,trial 1,
0.23673577298177406,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2401027059822809,,2.291,162.178,19.5,-0.001,0,trial 1,
0.24395692397956736,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2478927559859585,,2.291,162.178,19.5,-0.001,0,trial 1,
0.25190322200069204,,2.291,162.178,19.5,-0.001,0,trial 1,
0.25588124099886045,,2.291,162.178,19.5,-0.001,0,trial 1,
0.25986634197761305,,2.291,162.178,19.5,-0.001,0,trial 1,
0.263965764985187,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2678767539910041,,2.291,162.178,19.5,-0.001,0,trial 1,
0.27185237599769607,,2.291,162.178,19.5,-0.001,0,trial 1,
0.2758870609977748,,1.646,162.178,19.5,-0.001,0,trial 1,
0.2799014329793863,,1.646,162.178,19.5,-0.001,0,trial 1,
0.2839012219919823,,1.646,162.178,19.5,-0.001,0,trial 1,
0.28782970999600366,,1.646,162.178,19.5,-0.001,0,trial 1,
0.2918195509992074,,1.646,162.178,19.5,-0.001,0,trial 1,
